Field Name,New Value
lsId,LEASE02
description,null
signedDate,2026-05-01T00:00:00.000Z
handoverDate,2026-05-01
startDate,2026-05-01
endDate,2026-07-01
lsType,INTERNAL
rentType,GROSS_RENT
spaceUse,MIXED_USE
currency,USD
vatExcluded,false
isSign,true
partyId,TE-001
isLandlord,null
landlordTenant,null
leaseSublease,SUBLEASE
parentLsId,LEASE01
siteId,APR
buildingId,APR_B
pic,null
amountDeposit,100
rentUnitCost,100
serviceUnitCost,5
baseExchangeRate,26000
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,true
indexCost,null
docUrl,null
active,true
createdAt,2026-05-15T22:17:23.967
updatedAt,2026-05-15T22:25:38.457
action,UPDATE
