Field Name,New Value
lsId,LEASE-01
description,null
signedDate,2026-04-01T00:00:00.000Z
handoverDate,2026-04-01
startDate,2026-04-01
endDate,2026-05-31
lsType,EXTERNAL
rentType,GROSS_RENT
spaceUse,OFFICE
currency,USD
vatExcluded,true
isSign,true
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,LEASE
parentLsId,null
siteId,APR
buildingId,APR-A
pic,null
amountDeposit,100
rentUnitCost,100
serviceUnitCost,10
baseExchangeRate,1
areaNegotiated,100
areaCorridor,20
amenityId,null
assumeRenewal,true
indexCost,null
docUrl,null
active,false
createdAt,2026-04-22T23:40:25.361
updatedAt,2026-04-23T01:17:09.38
action,UPDATE
